"","foodExp_Cereals_Cash_Purchase","foodExp_Cereals_Credit_Purchase","foodExp_Cereals_NonPurchase_Bartering","foodExp_Cereals_NonPurchase_BorrowFromFamilyFriends","foodExp_Cereals_NonPurchase_Farming","foodExp_Cereals_NonPurchase_FishHuntGather","foodExp_Cereals_NonPurchase_Gifts","foodExp_Cereals_NonPurchase_NonPurchased","foodExp_Cereals_NonPurchase_SocialSafetyNets","foodExp_Tubers_Cash_Purchase","foodExp_Tubers_Credit_Purchase","foodExp_Tubers_NonPurchase_Bartering","foodExp_Tubers_NonPurchase_BorrowFromFamilyFriends","foodExp_Tubers_NonPurchase_Farming","foodExp_Tubers_NonPurchase_FishHuntGather","foodExp_Tubers_NonPurchase_Gifts","foodExp_Tubers_NonPurchase_NonPurchased","foodExp_Tubers_NonPurchase_SocialSafetyNets","foodExp_Pulses_Cash_Purchase","foodExp_Pulses_Credit_Purchase","foodExp_Pulses_NonPurchase_Bartering","foodExp_Pulses_NonPurchase_BorrowFromFamilyFriends","foodExp_Pulses_NonPurchase_Farming","foodExp_Pulses_NonPurchase_FishHuntGather","foodExp_Pulses_NonPurchase_Gifts","foodExp_Pulses_NonPurchase_NonPurchased","foodExp_Pulses_NonPurchase_SocialSafetyNets","foodExp_FruitsVeg_Cash_Purchase","foodExp_FruitsVeg_Credit_Purchase","foodExp_FruitsVeg_NonPurchase_Bartering","foodExp_FruitsVeg_NonPurchase_Farming","foodExp_FruitsVeg_NonPurchase_FishHuntGather","foodExp_FruitsVeg_NonPurchase_Gifts","foodExp_FruitsVeg_NonPurchase_NonPurchased","foodExp_FruitsVeg_NonPurchase_SocialSafetyNets","foodExp_Proteins_Cash_Purchase","foodExp_Proteins_Credit_Purchase","foodExp_Proteins_NonPurchase_BorrowFromFamilyFriends","foodExp_Proteins_NonPurchase_Farming","foodExp_Proteins_NonPurchase_FishHuntGather","foodExp_Proteins_NonPurchase_Gifts","foodExp_Proteins_NonPurchase_NonPurchased","foodExp_Proteins_NonPurchase_SocialSafetyNets","foodExp_Fats_Cash_Purchase","foodExp_Fats_Credit_Purchase","foodExp_Fats_NonPurchase_Bartering","foodExp_Fats_NonPurchase_Farming","foodExp_Fats_NonPurchase_FishHuntGather","foodExp_Fats_NonPurchase_Gifts","foodExp_Fats_NonPurchase_NonPurchased","foodExp_Fats_NonPurchase_SocialSafetyNets","foodExp_Dairy_Cash_Purchase","foodExp_Dairy_Credit_Purchase","foodExp_Dairy_NonPurchase_Bartering","foodExp_Dairy_NonPurchase_BorrowFromFamilyFriends","foodExp_Dairy_NonPurchase_Farming","foodExp_Dairy_NonPurchase_FishHuntGather","foodExp_Dairy_NonPurchase_Gifts","foodExp_Dairy_NonPurchase_NonPurchased","foodExp_Dairy_NonPurchase_SocialSafetyNets","foodExp_Sugars_Cash_Purchase","foodExp_Sugars_Credit_Purchase","foodExp_Sugars_NonPurchase_Bartering","foodExp_Sugars_NonPurchase_BorrowFromFamilyFriends","foodExp_Sugars_NonPurchase_Farming","foodExp_Sugars_NonPurchase_FishHuntGather","foodExp_Sugars_NonPurchase_Gifts","foodExp_Sugars_NonPurchase_NonPurchased","foodExp_Sugars_NonPurchase_SocialSafetyNets","foodExp_Tea_Cash_Purchase","foodExp_Tea_Credit_Purchase","foodExp_Tea_NonPurchase_BorrowFromFamilyFriends","foodExp_Tea_NonPurchase_Farming","foodExp_Tea_NonPurchase_FishHuntGather","foodExp_Tea_NonPurchase_Gifts","foodExp_Tea_NonPurchase_NonPurchased"
"123",1400,,,,1600,,,,,300,,,,250,,,,,1500,,,,2000,,,,,,,,850,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"124",,,,,4000,,,,,,,,,,,,,,,,,,3000,,,,,,,,800,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,200,,,,,,,,,,,,,,,
"125",,,,,3500,,,,,,,,,500,,,,,1800,,,,2400,,,,,,,,700,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"126",800,,,,1200,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"127",500,,,,800,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,580,,,,,,,,,475,,,,,,
"128",,,,,1800,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"129",,,,,700,,,,,,,,,350,,,,,,,,,1000,,,,,,8,,800,,,,,900,,,,,,,,200,,,,,,,,,,,,,,,,,150,,,,,,,,,,8,,,,,
"130",,,,,600,,,,,,,,,350,,,,,,,,,2000,,,,,150,,,300,,,,,1000,,,,,,,,350,,,,,,,,,,,,,,,,,200,,,,,,,,,175,,,,,,
"131",,,,,1500,,,,,400,,,,200,,,,,1550,,,,500,,,,,,,,250,,,,,600,,,,,,,,350,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"132",,,,,2000,,,,,,,,,500,,,,,,,,,1800,,,,,,,,400,,,,,600,,,,,,,,300,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"133",,,,,800,,,,,,,,,500,,,,,,,,,1800,,,,,,,,400,,,,,2500,,,,,,,,450,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"134",,,,,3600,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
"135",250,,,,7500,,,,,200,,,,600,,,,,,,,,2850,,,,,,,,350,,,,,1950,,,,,,,,900,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"136",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,50,,,,,,,,,,,,,,,,160,,,,,,,,,100,,,,,,60
"137",,,,,,,,,,50,,,,,,,,,100,,,,,,,,,,,,500,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,160,,,,,,,,,400,,,,,,
"138",,,,,2,,,,,500,,,,,,,,,1500,,,,,,,,,,,,80,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,
"139",300,800,,,,,,,,,,,,,,,,,600,3000,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,180,,,,,,,,,400,,,,,,20
"140",,,,,500,,,,,,,,,350,,,,,,,,,750,,,,,8,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"141",,,,,750,,,,,450,,,,,,,,,500,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"142",,,,,650,,,,,,,,,200,,,,,,,,,,,,,,,,,80,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"143",,,,,1500,,,,,,,,,1000,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"144",500,,,,,,,,,,,,,250,,,,,,,,,,,,1000,,,,,300,,,,,1500,,,,,,,,550,,,,,,,,,,,,,,,,,150,,,,,,,,,200,,,,,,
"145",,,,,2560,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"146",,,,,750,,,,,,,,,450,,,,,,,,,1500,,,,,,,,250,,,,,2000,,,,,,800,,300,,,,,,,,,,,,,,,,,100,,,,,,,,,300,,,,,,
"147",,,,,4100,,,,,,,,,508,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"148",,,,,800,,,,,,,,,350,,,,,,,,,2500,,,,,,,,500,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"149",3000,1000,,,,,,,,1000,,,,2000,,,,,900,250,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"150",400,,,,1500,,,,,,,,,5000,,,,,,,,,1000,,,,,,,,1000,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,
"151",,,,,3000,,,,,,,,,200,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"152",,,,,,,,,,,,,,,,,,,250,,,,,,,200,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
"153",,,,,1200,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
"154",,,,,800,,,,,,,,,400,,,,,800,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"155",,,,,2000,,,,,,,,,100,,,,,,,,,1400,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"156",,,,,800,,,,,,,,,300,,,,,1200,,,,500,,,,,,,,400,,,,,500,,,,,,,,150,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,8
"157",,,,,2000,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"158",,,,,800,,,,,,,,,400,,,,,,,,,1200,,,,,,,,500,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"159",,,,,900,,,,,,,,,300,,,,,,,,,1500,,,,,,,,500,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,,,,,,,340,,,,,,
"160",,,,,1800,,,,,,,,,200,,,,,750,,,,750,,,,,,,,500,,,,,,,,,,,,,150,,,,,,100,,,,,,,,,,,50,,,,,,,,,175,,,,,,175
"161",,,,,3000,,,,,,,,,1000,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
"162",,,,,3500,,,,,,,,,1500,,,,,,,,,3900,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
"163",,,,,5000,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"164",,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,100,,,,,,,,,200,,,,,,
"165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,500,,,,,,,,60,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"166",,,,,1400,,,,,,,,,600,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"167",500,,,,1000,,,,,,,,,300,,,,,,,,,900,,,,,,8,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"168",,,,,1500,,,,,,,,,1000,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"169",1000,,,,,,,,,,,,,200,,,,,50,,,,,,,,,,,,300,,,,,400,,,,,,8,,200,,,,,,,,,,,,,,,,,50,,,,,,,,,150,,,,,,
"170",,,,,3800,,,,,,,,,400,,,,,,,,,300,,,,,,,,300,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,400,,,,,,,,,100,,,,,,
"171",,,,,3500,,,,,,,,,400,,,,,,,,,2500,,,,,,,,450,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"172",,,,,4500,,,,,,,,,700,,,,,,,,,3000,,,,,,,,500,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"173",,,,,3500,,,,,,,,,800,,,,,,,,,3800,,,,,,,,750,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,150,,,,,,,,,1000,,,,,,
"174",,,,,3700,,,,,,,,,1200,,,,,,,,,4000,,,,,,,,1500,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"175",,,,,3000,,,,,,,,,850,,,,,,,,,4500,,,,,,,,750,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,1600,,,,,,,,,200,,,,,,
"176",,,,,500,,,,,,,,,200,,,,,,,,,1200,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"177",,,,,800,,,,,,,,,200,,,,,,,,,1000,,,,,,,,,,,,,,,,,200,,,,8,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"178",,,,,1000,,,,,,,,,70,,,,,,,,,2000,,,,,,,,150,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"179",,,,,1800,,,,,,,,,500,,,,,,,,,1400,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,8,,,,,,,,,,,,,,
"180",,,,,2500,,,,,,,,,650,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"181",,,,,2850,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,400,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"182",,,,,3900,,,,,,,,,100,,,,,,,,,980,,,,,,,,240,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"183",,,,,1800,,,,,,,,,450,,,,,,,,,3000,,,,,,,,600,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"184",,,,,3000,,,,,,,,,750,,,,,,,,,2800,,,,,,,,800,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"185",,,,,2750,,,,,,,,,600,,,,,,,,,3000,,,,,,,,1100,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"186",,,,,3000,,,,,,,,,1500,,,,,,,,,3400,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"187",1000,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,60,,,,,,
"188",1500,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,200,,,,,,,,50,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"189",,,,,3500,,,,,,,,,1500,,,,,,,,,2000,,,,,,,,1000,,,,,400,,,,,,,,150,,,,,,,,,,,,350,,,,,250,,,,,,,,,80,,,,,,
"190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,300,,,,,,,,,60,,,,,,
"191",400,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,120,,,,,,
"192",,,,,,,,,,1000,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,130,,,,,,
"194",1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"195",1200,,,,,,,,,250,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,250,,,,,,,,,50,,,,,,
"196",2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"197",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,160,,,,,,,,,60,,,,,,
"198",,,,,3600,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,480,,,,,,120,,,,,,,,,,,,,,360,,,,,250,,,,,,,,,80,,,,,,
"199",,,,,6000,,,,,,,,,1000,,,,,350,,,,,,,,,,,,,,,,,500,,,,,,500,,200,,,,,,,,600,,,,,,,,,150,,,,,,,,,80,,,,,,
"200",,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"201",,,,,,,,,,,,,,,,,,750,,,,,,,,,250,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"202",,,,,,,,,,,,,,750,,,,,,,,,,,,,540,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
"203",,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,300,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,100,,,,,,
"204",1000,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,150,,,,,,,,,75,,,,,,
"205",,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,
"206",,,,,1200,,,,,,,,,230,,,,,,,,,180,,,,,,,,350,,,,,450,200,,,,,,,150,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"207",,,,,1000,,,,,,,,,1500,,,,,,,,,,,,,,,,,250,,,,,200,,,,,,,,120,,,,,,70,,,,,,,,,,,150,,,,,,,,,75,,,,,,
"208",,,,,1500,,,,,,,,,1500,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"209",,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,
"210",,,,,1700,,,,,,,,,2500,,,,,,,,,1000,,,,,,,,350,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"211",,,,,5000,,,,,,,,,1400,,,,,,,,,450,,,,,,,,300,,,,,,450,,,,,,,150,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,
"212",,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,50,,,,,,,,,150,,,,,,
"213",,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,50,,,,,,,,,150,,,,,,
"214",,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,50,,,,,,,,,150,,,,,,
"215",,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,300,,,,,,
"216",,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,350,,,,,,,,,75,,,,,,
"217",,,,,,,,,,,,,,3250,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"218",,,,,,,,,,,,,,3250,,,,,,,,,,,,,,,,,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,
"219",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,250,,,,,,,,,150,,,,,,
"220",19000,,,,6000,,,,,500,,,,,,,,,2000,,,,,,,,,1500,,,550,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,
"221",,,,,3000,,,,,,,,,,,,,,,,,,1300,,,,,,,,340,,,,,,500,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"222",,,,,4000,,,,,,,,,500,,,,,,,,,,,,,,,,,520,,,,,700,400,,,,,,,,,,300,,,,,100,,,,,,,,,360,,,,,,,,,75,,,,,,
"223",,,,,3500,,,,,,,,,1500,,,,,,,,,,,,450,,,,,550,,,,,600,,,,,,,,150,,,,,,,,,,,,,,,,,200,,,,,,,,,75,,,,,,
"224",,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"225",,,,,4000,,,,,,,,,2000,,,,,,,,,870,,,,,,,,450,,,,,,600,,,,,,,220,,,,,,,,,,,,,,,,,150,,,,,,,,,80,,,,,,
"226",,,,,4500,,,,,,,,,2500,,,,,,,,,1000,,,,,,,,450,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,200,,,,,,,,,100,,,,,,
"227",,,,,4500,,,,,,,,,2300,,,,,,,,,,,,,,,,,1500,,,,,1200,,,,,,,,450,,,,,,,,,,,,,,,,,460,,,,,,,,,90,,,,,,
"228",,,,,6000,,,,,,,,,1000,,,,,,,,,,,,,,,,,1500,,,,,1200,,,,,,,,200,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"229",,,,,6000,,,,,,,,,3000,,,,,,,,,920,,,,,,,,540,,,,,600,,,,,,,,,,,,,,200,,,,,,1500,,,,,200,,,,,,,,,80,,,,,,
"230",,,,,7500,,,,,,,,,5000,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,75,,,,,,
"231",,,,,1200,,,,,,,,,8000,,,,,,,,,1800,,,,,,,,1200,,,,,920,,,,,,,,600,,,,,,,,,,,,,,,,,460,,,,,,,,,180,,,,,,
"232",,,,,9500,,,,,,,,,1500,,,,,,,,,5000,,,,,,,,2000,,,,,600,,,,,,,,350,,,,,,,,,,,,,,,,,400,,,,,,,,,150,,,,,,
"233",,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"234",,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"235",,,,,1500,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,240,,,,,,,,,70,,,,,,
"236",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"237",,,,,3000,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"238",4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"239",,,,,3500,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"240",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,
"241",,8,,,5500,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"242",9000,,,,,,,,,2000,,,,,,,,,2400,,,,,,,,,,,,,,,,,400,,,100,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,60,,,,,,
"243",4500,6000,,,10500,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"244",4500,,,,1500,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,350,,,,,,,,,50,,,,,,
"245",,,,,2000,,,,,,,,,1500,,,,,,,,,600,,,,,,,,300,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,45,,,,,,
"246",2500,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,75,,,,,,
"247",,,,,2500,,,,,,,,,1000,,,,,,,,,800,,,,,,,,750,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,260,,,,,,,,,150,,,,,,
"248",,,,,2500,,,,,,,,,1600,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,200,,,,,,,,,75,,,,,,
"249",,,,,4000,,,,,,,,,1500,,,,,,,,,350,,,,,,,,450,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"250",,,,,3600,,,,,,,,,1700,,,,,,,,,600,,,,,,,,450,,,,,,,,,,,,,,,,160,,,,,,,,,750,,,,,,,,,,,,,,60,,,,,,
"251",,,,,5000,,,,,,,,,800,,,,,600,,,,,,,,,,,,700,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,120,,,,,,,,,80,,,,,,
"252",,,,,4500,,,,,,,,,1200,,,,,,,,,,,,,,,,,600,,,,,450,,,,,,,,,,,150,,,,,,,,,,,,,,180,,,,,,,,,75,,,,,,
"253",,,,,3000,,,,,,,,,2000,,,,,,,,,750,,,,,,,,400,,,,,650,,,,,,,,160,,,,,,,,,,,,,,,,,400,,,,,,,,,150,,,,,,
"254",,,,,4500,,,,,,,,,1500,,,,,,,,,1800,,,,,,,,750,,,,,450,,,,,,,,,,,,,,,,,,,,350,,,,,120,,,,,,,,,75,,,,,,
"255",2000,4000,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,550,,,,,500,,,,,,,,200,,,,,,,,,,,,800,,,,,500,,,,,,,,,,,,,,,
"256",5500,500,,,3000,,,,,,,,,2000,,,,,,,,,,,,,,,,,1000,,,,,900,,,,,,,,,500,,,,,,,,,,,,,,,,400,,,,,,,,,75,,,,,,
"257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"258",1500,8,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,150,,,,,,,,,100,,,,,,
"259",2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,
"260",1000,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,100,,,,,,
"261",2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,600,,,,,,,,,90,,,,,,
"262",,,,,,,,3000,,1000,,,,,,,,,225,,,,,,,,,,,,,,,,,,8,,,,,,,210,,,,,,,,,,,,,,,,,280,,,,,,,,,25,,,,,,
"263",3000,,,,,,,,,2000,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
